,name,strikes_taken,percent_strikes_taken,sig_strikes_taken,percent_sig_strikes_taken,times_knocked_down,weight_class,was_kod_tkod
0,Adrian Yanez,23,0.45098039215686275,23,0.45,0,Bantamweight,False
1,Gustavo Lopez,41,0.39805825242718446,41,0.39,2,Bantamweight,True
2,Trevin Giles,75,0.6818181818181818,32,0.47,0,Middleweight,False
3,Roman Dolidze,43,0.589041095890411,27,0.47,0,Middleweight,False
4,Tai Tuivasa,2,0.3333333333333333,2,0.33,0,Heavyweight,False
5,Harry Hunsucker,14,0.7777777777777778,14,0.77,1,Heavyweight,True
6,Cheyanne Buys,136,0.8095238095238095,15,0.36,0,Women's Strawweight,False
7,Montserrat Conejo,49,0.5632183908045977,31,0.47,0,Women's Strawweight,False
8,Marion Reneau,92,0.5,51,0.36,0,Women's Bantamweight,False
9,Macy Chiasson,59,0.6344086021505376,30,0.47,0,Women's Bantamweight,False
10,Leonardo Santos,75,0.5681818181818182,46,0.54,0,Lightweight,True
11,Grant Dawson,74,0.6434782608695652,30,0.44,0,Lightweight,False
12,Song Kenan,17,0.6071428571428571,17,0.6,1,Welterweight,True
13,Max Griffin,14,0.5833333333333334,14,0.58,0,Welterweight,False
14,Derek Brunson,190,0.8050847457627118,36,0.48,0,Middleweight,False
15,Kevin Holland,226,0.6996904024767802,43,0.46,0,Middleweight,False
16,Montel Jackson,14,0.56,14,0.56,0,Bantamweight,False
17,Jesse Strader,15,0.5769230769230769,15,0.57,2,Bantamweight,True
18,Bruno Silva,37,0.4868421052631579,17,0.3,0,Flyweight,False
19,JP Buys,62,0.6966292134831461,37,0.6,3,Flyweight,True
20,Manel Kape,76,0.5757575757575758,55,0.53,0,Flyweight,False
21,Matheus Nicolau,73,0.44242424242424244,61,0.4,0,Flyweight,False
22,Misha Cirkunov,16,0.5517241379310345,16,0.55,1,Light Heavyweight,True
23,Ryan Spann,5,0.2777777777777778,5,0.27,0,Light Heavyweight,False
24,Leon Edwards,14,0.4375,8,0.3,0,Welterweight,False
25,Belal Muhammad,20,0.5,19,0.48,0,Welterweight,False
26,Charles Jourdain,80,0.3791469194312796,74,0.36,0,Featherweight,False
27,Marcelo Rojo,128,0.5161290322580645,106,0.48,2,Featherweight,True
28,Eryk Anders,21,0.4117647058823529,15,0.35,0,Middleweight,False
29,Darren Stewart,58,0.7341772151898734,43,0.68,1,Middleweight,False
30,Angela Hill,53,0.3706293706293706,34,0.29,0,Women's Strawweight,False
31,Ashley Yoder,97,0.5878787878787879,77,0.57,0,Women's Strawweight,False
32,Jonathan Martinez,49,0.44144144144144143,48,0.43,1,Bantamweight,True
33,Davey Grant,29,0.4084507042253521,29,0.4,1,Bantamweight,False
34,Dan Ige,1,1.0,1,1.0,0,Featherweight,False
35,Gavin Tucker,1,0.25,1,0.25,1,Featherweight,True
36,Nasrat Haqparast,54,0.2465753424657534,52,0.23,0,Lightweight,False
37,Rafa Garcia,99,0.4541284403669725,99,0.45,0,Lightweight,False
38,Cortney Casey,58,0.5858585858585859,45,0.56,0,Women's Flyweight,False
39,JJ Aldrich,121,0.599009900990099,55,0.41,0,Women's Flyweight,False
40,Matthew Semelsberger,4,1.0,4,1.0,0,Welterweight,False
41,Jason Witt,3,0.6,3,0.6,1,Welterweight,True
42,Rani Yahya,15,0.42857142857142855,3,0.16,0,Bantamweight,False
43,Ray Rodriguez,42,0.6461538461538462,8,0.61,0,Bantamweight,False
44,Gloria de Paula,50,0.4,24,0.3,0,Women's Strawweight,False
45,Jinh Yu Frey,51,0.5368421052631579,31,0.49,0,Women's Strawweight,False
46,Dominick Cruz,74,0.38341968911917096,74,0.38,0,Bantamweight,False
47,Casey Kenney,115,0.5021834061135371,89,0.44,0,Bantamweight,False
48,Song Yadong,69,0.45394736842105265,59,0.41,0,Bantamweight,False
49,Kyler Phillips,89,0.4708994708994709,67,0.41,0,Bantamweight,False
50,Petr Yan,119,0.4576923076923077,97,0.42,0,Bantamweight,False
51,Aljamain Sterling,103,0.6560509554140127,86,0.62,1,Bantamweight,False
52,Jan Blachowicz,99,0.5439560439560439,78,0.48,0,Light Heavyweight,False
53,Israel Adesanya,184,0.6666666666666666,107,0.55,0,Light Heavyweight,False
54,Thiago Santos,50,0.4854368932038835,36,0.4,0,Light Heavyweight,False
55,Aleksandar Rakic,61,0.5596330275229358,49,0.5,0,Light Heavyweight,False
56,Joseph Benavidez,71,0.6635514018691588,58,0.65,0,Flyweight,False
57,Askar Askarov,61,0.46923076923076923,46,0.4,0,Flyweight,False
58,Amanda Nunes,2,0.4,2,0.4,0,Women's Featherweight,False
59,Megan Anderson,19,0.7307692307692307,18,0.72,0,Women's Featherweight,False
60,Islam Makhachev,14,0.5833333333333334,10,0.5,0,Lightweight,False
61,Drew Dober,102,0.8571428571428571,15,0.6,0,Lightweight,False
62,Tim Elliott,22,0.6285714285714286,13,0.52,0,Flyweight,False
63,Jordan Espinosa,91,0.7583333333333333,25,0.56,0,Flyweight,False
64,Livinha Souza,30,0.6382978723404256,29,0.63,2,Women's Strawweight,True
65,Amanda Lemos,1,0.14285714285714285,1,0.14,0,Women's Strawweight,False
66,Rogerio Bontorin,21,0.65625,13,0.59,1,Flyweight,True
67,Kai Kara-France,27,0.627906976744186,6,0.35,0,Flyweight,False
68,Uros Medic,0,0.0,0,0.0,0,Lightweight,False
69,Aalon Cruz,55,0.7432432432432432,45,0.71,1,Lightweight,True
70,Kennedy Nzechukwu,146,0.6431718061674009,146,0.64,0,Light Heavyweight,False
71,Carlos Ulberg,84,0.56,82,0.55,1,Light Heavyweight,True
72,Sean Brady,32,0.3368421052631579,21,0.25,0,Welterweight,False
73,Jake Matthews,133,0.7112299465240641,37,0.54,0,Welterweight,False
74,Mario Bautista,36,0.8181818181818182,23,0.76,1,Bantamweight,True
75,Trevin Jones,43,0.671875,21,0.5,0,Bantamweight,False
76,Jairzinho Rozenstruik,128,0.6336633663366337,102,0.57,0,Heavyweight,False
77,Ciryl Gane,49,0.44144144144144143,42,0.4,0,Heavyweight,False
78,Montana De La Rosa,111,0.7816901408450704,52,0.65,0,Women's Flyweight,False
79,Mayra Bueno Silva,107,0.6858974358974359,30,0.41,0,Women's Flyweight,False
80,Vince Cachero,102,0.6754966887417219,77,0.63,0,Bantamweight,True
81,Ronnie Lawrence,23,0.41818181818181815,15,0.32,0,Bantamweight,False
82,Alexander Hernandez,53,0.2896174863387978,53,0.28,0,Lightweight,False
83,Thiago Moises,50,0.24390243902439024,50,0.24,0,Lightweight,False
84,Pedro Munhoz,65,0.33678756476683935,65,0.33,0,Bantamweight,False
85,Jimmie Rivera,94,0.4845360824742268,94,0.48,0,Bantamweight,False
86,Alex Caceres,26,0.3880597014925373,16,0.31,0,Featherweight,False
87,Kevin Croom,97,0.8016528925619835,48,0.7,0,Featherweight,False
88,Alexis Davis,71,0.41040462427745666,64,0.38,0,Women's Bantamweight,False
89,Sabina Mazo,128,0.6530612244897959,49,0.59,0,Women's Bantamweight,False
90,Nikita Krylov,89,0.6223776223776224,43,0.46,0,Light Heavyweight,False
91,Magomed Ankalaev,58,0.4393939393939394,47,0.39,0,Light Heavyweight,False
92,Dustin Jacoby,80,0.46511627906976744,66,0.42,2,Light Heavyweight,False
93,Maxim Grishin,60,0.425531914893617,57,0.41,0,Light Heavyweight,False
94,Aleksei Oleinik,34,0.6071428571428571,34,0.6,0,Heavyweight,True
95,Chris Daukaus,6,0.5454545454545454,5,0.5,0,Heavyweight,False
96,Charles Rosa,96,0.8205128205128205,45,0.75,1,Featherweight,False
97,Darrick Minner,40,0.7843137254901961,15,0.6,0,Featherweight,False
98,Phil Hawes,87,0.7016129032258065,57,0.61,0,Middleweight,False
99,Nassourdine Imavov,101,0.7890625,31,0.57,0,Middleweight,False
100,Curtis Blaydes,7,0.30434782608695654,7,0.3,1,Heavyweight,True
101,Derrick Lewis,28,0.5384615384615384,28,0.53,0,Heavyweight,False
102,Eddie Wineland,44,0.7457627118644068,42,0.73,1,Bantamweight,True
103,John Castaneda,17,0.25757575757575757,17,0.25,0,Bantamweight,False
104,Andrei Arlovski,41,0.640625,37,0.61,0,Heavyweight,False
105,Tom Aspinall,22,0.38596491228070173,20,0.36,0,Heavyweight,False
106,Jared Gordon,42,0.3620689655172414,39,0.34,0,Featherweight,False
107,Danny Chavez,138,0.7225130890052356,82,0.62,0,Featherweight,False
108,Ketlen Vieira,215,0.8704453441295547,47,0.78,0,Women's Bantamweight,False
109,Yana Kunitskaya,35,0.6862745098039216,7,0.43,0,Women's Bantamweight,False
110,Aiemann Zahabi,13,0.37142857142857144,11,0.33,0,Bantamweight,False
111,Drako Rodriguez,9,0.8181818181818182,9,0.81,1,Bantamweight,True
112,Serghei Spivac,27,0.7105263157894737,13,0.54,0,Heavyweight,False
113,Jared Vanderaa,107,0.7925925925925926,51,0.7,0,Heavyweight,True
114,Nate Landwehr,17,0.68,15,0.65,1,Featherweight,True
115,Julian Erosa,9,0.6428571428571429,9,0.64,0,Featherweight,False
116,Shana Dobson,132,0.7213114754098361,49,0.72,0,Women's Flyweight,True
117,Casey O'Neill,27,0.6428571428571429,16,0.57,0,Women's Flyweight,False
118,Maycee Barber,95,0.5864197530864198,38,0.46,0,Women's Flyweight,False
119,Alexa Grasso,50,0.30303030303030304,40,0.26,0,Women's Flyweight,False
120,Belal Muhammad,70,0.33980582524271846,69,0.33,0,Welterweight,False
121,Dhiego Lima,136,0.4788732394366197,129,0.48,0,Welterweight,False
122,Maki Pitolo,61,0.4728682170542636,41,0.41,0,Middleweight,False
123,Julian Marquez,70,0.6363636363636364,32,0.49,0,Middleweight,False
124,Kamaru Usman,55,0.4435483870967742,45,0.41,0,Welterweight,False
125,Gilbert Burns,93,0.6241610738255033,83,0.61,2,Welterweight,True
126,Ricky Simon,25,0.30120481927710846,19,0.26,0,Featherweight,False
127,Brian Kelleher,72,0.5294117647058824,45,0.45,0,Featherweight,False
128,Kelvin Gastelum,56,0.5233644859813084,27,0.4,0,Middleweight,False
129,Ian Heinisch,51,0.4434782608695652,38,0.45,0,Middleweight,False
130,Polyana Viana,14,0.7368421052631579,5,0.71,0,Women's Strawweight,False
131,Mallory Martin,71,0.797752808988764,4,0.25,0,Women's Strawweight,False
132,Rodolfo Vieira,50,0.684931506849315,32,0.64,0,Middleweight,False
133,Anthony Hernandez,14,0.4375,9,0.34,0,Middleweight,False
134,Gabe Green,48,0.5161290322580645,42,0.48,0,Welterweight,False
135,Philip Rowe,128,0.6009389671361502,70,0.46,2,Welterweight,False
136,Andre Ewell,72,0.549618320610687,69,0.54,1,Catch Weight,False
137,Chris Gutierrez,62,0.5,59,0.49,0,Catch Weight,False
138,Alexandre Pantoja,51,0.5425531914893617,49,0.53,0,Flyweight,False
139,Manel Kape,77,0.506578947368421,74,0.49,0,Flyweight,False
140,Karol Rosa,70,0.7216494845360825,38,0.64,0,Women's Bantamweight,False
141,Joselyne Edwards,135,0.7714285714285715,57,0.67,0,Women's Bantamweight,False
142,Devonte Smith,19,0.5428571428571428,11,0.4,0,Catch Weight,False
143,Justin Jaynes,46,0.5897435897435898,34,0.52,0,Catch Weight,True
144,Michael Johnson,65,0.6074766355140186,49,0.55,0,Lightweight,False
145,Clay Guida,70,0.5072463768115942,58,0.46,0,Lightweight,False
146,Alistair Overeem,54,0.6136363636363636,54,0.61,1,Heavyweight,True
147,Alexander Volkov,10,0.5,10,0.5,0,Heavyweight,False
148,Diego Ferreira,74,0.5606060606060606,62,0.53,0,Lightweight,False
149,Beneil Dariush,74,0.5103448275862069,54,0.44,0,Lightweight,False
150,Cory Sandhagen,2,0.6666666666666666,2,0.66,0,Bantamweight,False
151,Frankie Edgar,2,0.4,2,0.4,1,Bantamweight,True
152,Mike Rodriguez,55,0.9482758620689655,29,1.0,0,Light Heavyweight,False
153,Danilo Marques,34,0.7906976744186046,16,0.66,0,Light Heavyweight,False
154,Ode Osbourne,2,0.6666666666666666,2,0.66,0,Featherweight,False
155,Jerome Rivera,5,0.8333333333333334,5,0.83,1,Featherweight,True
156,SeungWoo Choi,46,0.6571428571428571,23,0.48,0,Featherweight,False
157,Youssef Zalal,73,0.5069444444444444,41,0.37,0,Featherweight,False
158,Molly McCann,85,0.7522123893805309,36,0.62,0,Women's Flyweight,False
159,Lara Procopio,71,0.8554216867469879,37,0.78,0,Women's Flyweight,False
160,Timur Valiev,24,0.5217391304347826,8,0.28,0,Featherweight,False
161,Martin Day,115,0.7718120805369127,55,0.72,0,Featherweight,False
162,Dan Hooker,17,0.7083333333333334,17,0.7,1,Lightweight,True
163,Michael Chandler,8,0.42105263157894735,8,0.42,0,Lightweight,False
164,Andrew Sanchez,82,0.4632768361581921,79,0.45,0,Middleweight,True
165,Makhmud Muradov,50,0.3472222222222222,48,0.34,0,Middleweight,False
166,Julianna Pena,28,0.4444444444444444,21,0.38,0,Women's Bantamweight,False
167,Sara McMann,140,0.7291666666666666,38,0.5,0,Women's Bantamweight,False
168,Jessica Eye,214,0.670846394984326,148,0.61,0,Women's Flyweight,False
169,Joanne Calderwood,104,0.47706422018348627,77,0.44,0,Women's Flyweight,False
170,Dustin Poirier,52,0.5652173913043478,29,0.43,0,Lightweight,False
171,Conor McGregor,53,0.5408163265306123,48,0.52,1,Lightweight,True
172,Brad Tavares,57,0.4222222222222222,34,0.33,0,Middleweight,False
173,Antonio Carlos Junior,73,0.5407407407407407,54,0.5,0,Middleweight,False
174,Arman Tsarukyan,51,0.5257731958762887,16,0.28,0,Lightweight,False
175,Matt Frevola,103,0.5722222222222222,50,0.48,0,Lightweight,False
176,Marina Rodriguez,35,0.6140350877192983,7,0.3,0,Women's Strawweight,False
177,Amanda Ribas,26,0.5,15,0.41,1,Women's Strawweight,True
178,Amir Albazi,74,0.49333333333333335,59,0.44,0,Flyweight,False
179,Zhalgas Zhumagulov,94,0.47,68,0.4,0,Flyweight,False
180,Khalil Rountree Jr.,105,0.4772727272727273,102,0.47,0,Light Heavyweight,False
181,Marcin Prachnio,50,0.33557046979865773,49,0.33,0,Light Heavyweight,False
182,Nik Lentz,137,0.5829787234042553,82,0.48,0,Catch Weight,False
183,Movsar Evloev,50,0.36496350364963503,46,0.36,0,Catch Weight,False
184,Ricky Simon,10,0.5555555555555556,6,0.42,0,Bantamweight,False
185,Gaetano Pirrello,50,0.7246376811594203,17,0.53,0,Bantamweight,False
186,Omari Akhmedov,6,0.5,1,0.25,0,Middleweight,False
187,Tom Breese,73,0.8021978021978022,25,0.65,0,Middleweight,False
188,Warlley Alves,2,1.0,2,1.0,0,Welterweight,False
189,Mounir Lazzez,24,0.8,17,0.8,1,Welterweight,True
190,Matt Schnell,58,0.3005181347150259,58,0.3,0,Flyweight,False
191,Tyson Nam,85,0.397196261682243,85,0.39,0,Flyweight,False
192,Roxanne Modafferi,100,0.4672897196261682,86,0.43,0,Women's Flyweight,False
193,Viviane Araujo,49,0.2538860103626943,46,0.25,0,Women's Flyweight,False
194,Ike Villanueva,24,0.5714285714285714,24,0.57,0,Light Heavyweight,False
195,Vinicius Moreira,24,0.42857142857142855,24,0.42,1,Light Heavyweight,True
196,Michael Chiesa,52,0.5416666666666666,12,0.24,0,Welterweight,False
197,Neil Magny,93,0.744,24,0.46,0,Welterweight,False
198,Lerone Murphy,51,0.4214876033057851,39,0.36,0,Featherweight,False
199,Douglas Silva de Andrade,60,0.4580152671755725,48,0.41,0,Featherweight,False
200,Su Mudaerji,28,0.22764227642276422,28,0.22,0,Flyweight,False
201,Zarrukh Adashev,50,0.3937007874015748,50,0.39,0,Flyweight,False
202,Francisco Figueiredo,85,0.4271356783919598,31,0.23,0,Flyweight,False
203,Jerome Rivera,39,0.6,29,0.54,0,Flyweight,False
204,Mike Davis,132,0.4012158054711246,117,0.37,0,Lightweight,False
205,Mason Jones,111,0.5285714285714286,108,0.52,0,Lightweight,False
206,Dalcha Lungiambula,50,0.6666666666666666,25,0.51,0,Middleweight,False
207,Markus Perez,61,0.6224489795918368,29,0.44,0,Middleweight,False
208,Umar Nurmagomedov,8,0.25806451612903225,7,0.23,0,Bantamweight,False
209,Sergey Morozov,32,0.6666666666666666,25,0.6,0,Bantamweight,False
210,Victoria Leonardo,58,0.5523809523809524,53,0.53,0,Women's Flyweight,True
211,Manon Fiorot,18,0.21951219512195122,17,0.2,0,Women's Flyweight,False
212,Wu Yanan,111,0.5388349514563107,88,0.49,0,Women's Bantamweight,False
213,Joselyne Edwards,70,0.47297297297297297,58,0.44,0,Women's Bantamweight,False
214,Punahele Soriano,23,0.3898305084745763,22,0.38,0,Middleweight,False
215,Dusko Todorovic,32,0.463768115942029,30,0.45,2,Middleweight,True
216,Carlos Felipe,109,0.6374269005847953,86,0.58,0,Heavyweight,False
217,Justin Tafa,77,0.5422535211267606,77,0.54,0,Heavyweight,False
218,Carlos Condit,37,0.7115384615384616,28,0.75,0,Welterweight,False
219,Matt Brown,157,0.7511961722488039,39,0.44,0,Welterweight,False
220,David Zawada,101,0.63125,53,0.52,0,Welterweight,False
221,Ramazan Emeev,114,0.6,44,0.38,0,Welterweight,False
222,Joaquin Buckley,12,0.5217391304347826,12,0.52,1,Middleweight,True
223,Alessio Di Chirico,3,0.13636363636363635,3,0.13,0,Middleweight,False
224,Santiago Ponzinibbio,21,0.42,21,0.42,1,Welterweight,True
225,Li Jingliang,11,0.6111111111111112,11,0.61,0,Welterweight,False
226,Max Holloway,134,0.47183098591549294,133,0.47,0,Featherweight,False
227,Calvin Kattar,447,0.599195710455764,445,0.59,0,Featherweight,False
228,Sarah Moras,56,0.33136094674556216,56,0.33,0,Women's Bantamweight,False
229,Vanessa Melo,44,0.22,44,0.22,0,Women's Bantamweight,False
230,Jacob Kilburn,110,0.5583756345177665,95,0.52,1,Featherweight,False
231,Austin Lingo,78,0.3611111111111111,64,0.31,0,Featherweight,False
232,Marlon Moraes,33,0.8048780487804879,30,0.81,1,Bantamweight,True
233,Rob Font,12,0.75,9,0.75,0,Bantamweight,False
234,Sijara Eubanks,132,0.7058823529411765,92,0.64,0,Women's Bantamweight,False
235,Pannie Kianzad,70,0.5343511450381679,49,0.47,0,Women's Bantamweight,False
236,Deron Winn,70,0.8045977011494253,45,0.72,0,Catch Weight,False
237,Antonio Arroyo,64,0.7191011235955056,20,0.52,0,Catch Weight,False
238,Stephen Thompson,110,0.5365853658536586,85,0.47,0,Welterweight,False
239,Geoff Neal,191,0.4462616822429907,171,0.42,0,Welterweight,False
240,Jose Aldo,92,0.6917293233082706,46,0.56,0,Bantamweight,False
241,Marlon Vera,60,0.6976744186046512,44,0.62,0,Bantamweight,False
242,Anthony Pettis,50,0.49019607843137253,31,0.39,0,Welterweight,False
243,Alex Morono,80,0.6956521739130435,50,0.62,0,Welterweight,False
244,Marcin Tybura,50,0.5494505494505495,50,0.54,0,Heavyweight,False
245,Greg Hardy,60,0.5405405405405406,51,0.5,0,Heavyweight,True
246,Michel Pereira,62,0.4626865671641791,55,0.43,0,Welterweight,False
247,Khaos Williams,56,0.5957446808510638,44,0.55,0,Welterweight,False
248,Gillian Robertson,72,0.8470588235294118,27,0.72,0,Women's Flyweight,False
249,Taila Santos,42,0.875,9,0.64,0,Women's Flyweight,False
250,Jimmy Flick,30,0.6976744186046512,21,0.65,0,Flyweight,False
251,Cody Durden,7,0.4666666666666667,6,0.42,0,Flyweight,False
252,Tafon Nchukwi,40,0.49382716049382713,40,0.49,0,Middleweight,False
253,Jamie Pickett,159,0.6794871794871795,120,0.64,1,Middleweight,False
254,Christos Giagos,29,0.35802469135802467,28,0.35,0,Catch Weight,False
255,Carlton Minus,76,0.6129032258064516,31,0.46,0,Catch Weight,False
256,Renato Moicano,21,0.6,21,0.6,1,Lightweight,True
257,Rafael Fiziev,15,0.40540540540540543,15,0.4,0,Lightweight,False
258,Kevin Holland,2,1.0,2,1.0,0,Middleweight,False
259,Jacare Souza,21,0.875,15,0.83,0,Middleweight,True
260,Mackenzie Dern,80,0.5263157894736842,63,0.47,0,Women's Strawweight,False
261,Virna Jandiroba,101,0.517948717948718,82,0.47,0,Women's Strawweight,False
262,Tony Ferguson,86,0.7678571428571429,41,0.65,0,Lightweight,False
263,Charles Oliveira,26,0.5306122448979592,19,0.45,0,Lightweight,False
264,Deiveson Figueiredo,139,0.54296875,132,0.53,0,Flyweight,False
265,Brandon Moreno,147,0.592741935483871,137,0.57,0,Flyweight,False
266,Junior Dos Santos,61,0.7439024390243902,59,0.73,1,Heavyweight,True
267,Ciryl Gane,11,0.3055555555555556,10,0.28,0,Heavyweight,False
268,Gavin Tucker,136,0.5836909871244635,84,0.47,0,Featherweight,False
269,Billy Quarantillo,123,0.6721311475409836,106,0.63,0,Featherweight,False
270,Cub Swanson,40,0.6153846153846154,21,0.46,0,Featherweight,False
271,Daniel Pineda,51,0.7183098591549296,46,0.69,2,Featherweight,True
272,Tecia Torres,26,0.4406779661016949,20,0.37,0,Women's Strawweight,False
273,Sam Hughes,52,0.5048543689320388,52,0.5,0,Women's Strawweight,True
274,Chase Hooper,61,0.61,48,0.55,0,Featherweight,False
275,Peter Barrett,81,0.5625,57,0.48,0,Featherweight,False
276,Gabriel Benitez,22,0.4230769230769231,22,0.42,0,Lightweight,False
277,Justin Jaynes,38,0.36538461538461536,38,0.36,1,Lightweight,True
278,Roman Dolidze,48,0.41025641025641024,29,0.33,0,Light Heavyweight,False
279,John Allan,118,0.5756097560975609,51,0.46,0,Light Heavyweight,False
280,Ilia Topuria,16,0.3018867924528302,16,0.3,0,Featherweight,False
281,Damon Jackson,31,0.484375,31,0.49,1,Featherweight,True
282,Louis Smolka,47,0.415929203539823,43,0.4,0,Bantamweight,False
283,Jose Quinonez,64,0.5,59,0.5,0,Bantamweight,True
284,Gian Villante,126,0.4548736462093863,123,0.45,0,Heavyweight,False
285,Jake Collier,81,0.4090909090909091,80,0.4,0,Heavyweight,False
286,Ovince Saint Preux,68,0.53125,68,0.53,0,Light Heavyweight,True
287,Jamahal Hill,37,0.5068493150684932,36,0.5,0,Light Heavyweight,False
288,Matt Wiman,1,1.0,1,1.0,0,Lightweight,True
289,Jordan Leavitt,0,0.0,0,0.0,0,Lightweight,False
290,Jack Hermansson,202,0.5372340425531915,164,0.49,1,Middleweight,False
291,Marvin Vettori,139,0.38082191780821917,122,0.35,0,Middleweight,False
292,Ashlee Evans-Smith,109,0.6123595505617978,94,0.58,1,Women's Bantamweight,False
293,Norma Dumont,47,0.2781065088757396,42,0.25,0,Women's Bantamweight,False
294,Jonathan Pearce,48,0.5714285714285714,47,0.56,0,Featherweight,False
295,Kai Kamaka,113,0.6569767441860465,51,0.51,0,Featherweight,True
296,Miguel Baeza,15,0.25862068965517243,15,0.25,0,Welterweight,False
297,Takashi Sato,43,0.524390243902439,40,0.54,0,Welterweight,False
298,Josh Parisian,164,0.5963636363636363,126,0.55,0,Heavyweight,False
299,Parker Porter,123,0.5189873417721519,114,0.5,0,Heavyweight,False
300,Anthony Smith,27,0.9,1,0.33,0,Light Heavyweight,False
301,Devin Clark,4,0.5,1,0.25,0,Light Heavyweight,False
302,Spike Carlyle,118,0.7866666666666666,70,0.73,0,Featherweight,False
303,Bill Algeo,28,0.4307692307692308,23,0.43,0,Featherweight,False
304,Martin Day,22,0.7096774193548387,11,0.55,0,Bantamweight,False
305,Anderson Dos Santos,16,0.8421052631578947,9,0.75,0,Bantamweight,False
306,Luke Sanders,38,0.5066666666666667,33,0.47,1,Catch Weight,False
307,Nate Maness,63,0.525,55,0.49,0,Catch Weight,False
308,Gina Mazany,49,0.46226415094339623,41,0.43,0,Women's Flyweight,False
309,Rachael Ostovich,106,0.49074074074074076,72,0.44,1,Women's Flyweight,True
310,Su Mudaerji,0,0.0,0,0.0,0,Flyweight,False
311,Malcolm Gordon,9,0.5,9,0.5,1,Flyweight,True
312,Brandon Moreno,24,0.3870967741935484,17,0.32,0,Flyweight,False
313,Brandon Royval,53,0.726027397260274,16,0.47,0,Flyweight,True
314,Joaquin Buckley,36,0.5454545454545454,18,0.38,0,Middleweight,False
315,Jordan Wright,59,0.6145833333333334,43,0.53,2,Middleweight,True
316,Katlyn Chookagian,60,0.30456852791878175,60,0.3,0,Women's Flyweight,False
317,Cynthia Calvillo,69,0.3,69,0.3,0,Women's Flyweight,False
318,Antonina Shevchenko,25,0.6944444444444444,15,0.57,0,Women's Flyweight,False
319,Ariane Lipski,94,0.734375,39,0.68,0,Women's Flyweight,True
320,Valentina Shevchenko,94,0.618421052631579,36,0.4,0,Women's Flyweight,False
321,Jennifer Maia,249,0.7854889589905363,62,0.52,0,Women's Flyweight,False
322,Deiveson Figueiredo,6,0.42857142857142855,6,0.42,0,Flyweight,False
323,Alex Perez,5,0.625,5,0.62,0,Flyweight,False
324,Mauricio Rua,54,0.6136363636363636,29,0.5,0,Light Heavyweight,True
325,Paul Craig,25,0.5434782608695652,10,0.35,0,Light Heavyweight,False
326,Mike Perry,143,0.6908212560386473,128,0.66,0,Welterweight,False
327,Tim Means,69,0.41566265060240964,64,0.39,0,Welterweight,False
328,Alan Jouban,101,0.4786729857819905,100,0.47,0,Welterweight,False
329,Jared Gooden,169,0.5090361445783133,168,0.5,0,Welterweight,False
330,Daniel Rodriguez,58,0.3741935483870968,50,0.34,0,Welterweight,False
331,Nicolas Dalby,105,0.47297297297297297,83,0.41,0,Welterweight,False
332,Louis Cosce,160,0.5818181818181818,125,0.52,0,Welterweight,True
333,Sasha Palatnikov,115,0.5133928571428571,99,0.48,1,Welterweight,False
334,Kyle Daukaus,95,0.7307692307692307,32,0.5,0,Middleweight,False
335,Dustin Stoltzfus,113,0.6174863387978142,64,0.52,0,Middleweight,False
336,Ashley Yoder,87,0.8130841121495327,33,0.64,0,Women's Strawweight,False
337,Miranda Granger,151,0.8206521739130435,26,0.61,0,Women's Strawweight,False
338,Kay Hansen,156,0.6341463414634146,57,0.41,0,Women's Strawweight,False
339,Cory McKenna,87,0.6641221374045801,67,0.6,0,Women's Strawweight,False
340,Randa Markos,79,0.8315789473684211,29,0.67,0,Women's Strawweight,False
341,Kanako Murata,37,0.5362318840579711,29,0.47,0,Women's Strawweight,False
342,Brendan Allen,106,0.6022727272727273,94,0.58,1,Catch Weight,True
343,Sean Strickland,53,0.5760869565217391,51,0.56,0,Catch Weight,False
344,Geraldo de Freitas,86,0.5972222222222222,49,0.48,0,Bantamweight,False
345,Tony Gravely,108,0.6545454545454545,76,0.59,0,Bantamweight,False
346,Alex Morono,133,0.5495867768595041,124,0.53,0,Welterweight,False
347,Rhys McKee,208,0.5777777777777777,176,0.54,0,Welterweight,False
348,Abdul Razak Alhassan,5,0.5,5,0.5,1,Welterweight,True
349,Khaos Williams,2,1.0,2,1.0,0,Welterweight,False
350,Paul Felder,155,0.670995670995671,92,0.56,0,Lightweight,False
351,Rafael Dos Anjos,134,0.5929203539823009,98,0.51,0,Lightweight,False
352,Don'Tale Mayes,96,0.631578947368421,58,0.52,0,Heavyweight,False
353,Roque Martinez,80,0.5063291139240507,59,0.43,0,Heavyweight,False
354,Thiago Santos,148,0.8222222222222222,46,0.73,0,Light Heavyweight,False
355,Glover Teixeira,81,0.7431192660550459,40,0.62,1,Light Heavyweight,False
356,Andrei Arlovski,68,0.5714285714285714,68,0.57,0,Heavyweight,False
357,Tanner Boser,34,0.4146341463414634,34,0.41,0,Heavyweight,False
358,Alexandr Romanov,27,0.6923076923076923,18,0.62,0,Heavyweight,False
359,Marcos Rogerio de Lima,10,0.8333333333333334,6,0.85,0,Heavyweight,False
360,Claudia Gadelha,133,0.5683760683760684,74,0.43,0,Women's Strawweight,False
361,Yan Xiaonan,84,0.5637583892617449,36,0.37,0,Women's Strawweight,False
362,Darren Elkins,48,0.5333333333333333,36,0.46,0,Featherweight,False
363,Eduardo Garagorri,120,0.7142857142857143,32,0.44,0,Featherweight,False
