,name,strikes_taken,percent_strikes_taken,sig_strikes_taken,percent_sig_strikes_taken,times_knocked_down,weight_class,was_kod_tkod
5276,Mizuto Hirota,89,0.5266272189349113,88,0.52,2,Featherweight,False
5277,Teruto Ishihara,100,0.4444444444444444,62,0.33,0,Featherweight,False
5278,Shinsho Anzai,53,0.6463414634146342,28,0.51,0,Welterweight,False
5279,Roger Zapata,49,0.7205882352941176,23,0.63,0,Welterweight,True
5280,Naoyuki Kotani,59,0.5462962962962963,57,0.54,1,Lightweight,False
5281,Kajan Johnson,61,0.6421052631578947,21,0.38,0,Lightweight,False
5282,Ross Pearson,72,0.44171779141104295,60,0.39,0,Lightweight,False
5283,Paul Felder,86,0.6142857142857143,62,0.53,0,Lightweight,False
5284,Anthony Johnson,8,0.4,8,0.4,0,Light Heavyweight,False
5285,Jimi Manuwa,37,0.6727272727272727,25,0.59,1,Light Heavyweight,True
5286,Paige VanZant,66,0.75,30,0.63,0,Women's Strawweight,False
5287,Alex Chambers,165,0.6653225806451613,73,0.56,0,Women's Strawweight,False
5288,Jessica Andrade,66,0.6875,41,0.6,0,Women's Bantamweight,False
5289,Raquel Pennington,59,0.6781609195402298,41,0.62,0,Women's Bantamweight,False
5290,Demetrious Johnson,108,0.6206896551724138,58,0.47,0,Flyweight,False
5291,John Dodson,163,0.6468253968253969,88,0.51,0,Flyweight,False
5292,Jan Blachowicz,156,0.6582278481012658,84,0.56,0,Light Heavyweight,False
5293,Corey Anderson,33,0.532258064516129,20,0.46,0,Light Heavyweight,False
5294,Francisco Rivera,32,0.5,28,0.46,1,Bantamweight,False
5295,John Lineker,16,0.4444444444444444,16,0.44,0,Bantamweight,False
5296,Andrei Arlovski,54,0.6506024096385542,24,0.46,0,Heavyweight,False
5297,Frank Mir,70,0.6481481481481481,39,0.52,0,Heavyweight,False
5298,Joe Riggs,32,0.6956521739130435,24,0.66,0,Middleweight,False
5299,Ron Stallings,47,0.6351351351351351,35,0.57,1,Middleweight,False
5300,Clay Collard,73,0.5,52,0.42,0,Featherweight,False
5301,Tiago dos Santos e Silva,136,0.5151515151515151,84,0.4,1,Featherweight,False
5302,Joaquim Silva,68,0.38202247191011235,58,0.34,0,Lightweight,False
5303,Nazareno Malegarie,49,0.30246913580246915,49,0.3,0,Lightweight,False
5304,Maryna Moroz,106,0.5463917525773195,69,0.47,1,Women's Strawweight,False
5305,Valerie Letourneau,79,0.41798941798941797,55,0.34,0,Women's Strawweight,False
5306,Max Holloway,5,0.29411764705882354,5,0.29,0,Featherweight,False
5307,Charles Oliveira,14,0.4827586206896552,14,0.48,0,Featherweight,True
5308,Sam Stout,12,0.8,12,0.8,1,Lightweight,True
5309,Frankie Perez,2,0.125,2,0.12,0,Lightweight,False
5310,Chad Laprise,17,0.4594594594594595,17,0.47,1,Lightweight,True
5311,Francisco Trinaldo,8,0.47058823529411764,8,0.47,0,Lightweight,False
5312,Yves Jabouin,8,0.8,4,0.66,0,Bantamweight,False
5313,Felipe Arantes,18,0.6923076923076923,5,0.5,0,Bantamweight,False
5314,Neil Magny,37,0.5441176470588235,29,0.49,0,Welterweight,False
5315,Erick Silva,132,0.6470588235294118,68,0.51,0,Welterweight,False
5316,Patrick Cote,49,0.5157894736842106,45,0.49,0,Welterweight,False
5317,Joshua Burkman,106,0.7571428571428571,60,0.64,1,Welterweight,True
5318,Olivier Aubin-Mercier,46,0.8518518518518519,23,0.79,0,Lightweight,False
5319,Tony Sims,76,0.8,3,0.37,0,Lightweight,False
5320,Misha Cirkunov,10,0.47619047619047616,6,0.42,0,Light Heavyweight,False
5321,Daniel Jolly,62,0.8157894736842105,24,0.82,0,Light Heavyweight,True
5322,Shane Campbell,50,0.5952380952380952,22,0.55,0,Lightweight,False
5323,Elias Silverio,73,0.7087378640776699,44,0.63,0,Lightweight,False
5324,Marcos Rogerio de Lima,34,0.7391304347826086,21,0.72,0,Light Heavyweight,False
5325,Nikita Krylov,5,0.5,5,0.5,0,Light Heavyweight,False
5326,Chris Kelades,83,0.5570469798657718,47,0.41,0,Flyweight,False
5327,Chris Beal,90,0.5454545454545454,50,0.45,0,Flyweight,False
5328,Derek Brunson,6,0.46153846153846156,4,0.36,0,Middleweight,False
5329,Sam Alvey,53,0.7464788732394366,27,0.6,0,Middleweight,True
5330,Sara McMann,36,0.6792452830188679,27,0.69,1,Women's Bantamweight,False
5331,Amanda Nunes,4,0.2222222222222222,2,0.12,0,Women's Bantamweight,False
5332,Jared Rosholt,86,0.6825396825396826,26,0.45,0,Heavyweight,False
5333,Timothy Johnson,53,0.7571428571428571,19,0.55,0,Heavyweight,False
5334,Michael Johnson,75,0.373134328358209,75,0.37,0,Lightweight,False
5335,Beneil Dariush,85,0.3811659192825112,84,0.37,0,Lightweight,False
5336,Uriah Hall,23,0.7931034482758621,7,0.58,0,Middleweight,False
5337,Oluwale Bamgbose,20,0.7407407407407407,11,0.61,0,Middleweight,True
5338,Glover Teixeira,36,0.5901639344262295,30,0.55,0,Light Heavyweight,False
5339,Ovince Saint Preux,128,0.7901234567901234,53,0.67,0,Light Heavyweight,False
5340,Ray Borg,24,0.7272727272727273,7,0.53,0,Flyweight,False
5341,Geane Herrera,85,0.7391304347826086,26,0.49,0,Flyweight,False
5342,Chris Camozzi,104,0.6341463414634146,82,0.58,0,Middleweight,False
5343,Tom Watson,112,0.6436781609195402,87,0.59,0,Middleweight,False
5344,Frankie Saenz,62,0.512396694214876,55,0.48,0,Bantamweight,False
5345,Sirwan Kakai,91,0.4666666666666667,80,0.43,0,Bantamweight,False
5346,Dustin Ortiz,24,0.5581395348837209,13,0.4,0,Flyweight,False
5347,Willie Gates,171,0.7916666666666666,92,0.71,0,Flyweight,True
5348,Chris Dempsey,4,0.5,4,0.5,1,Light Heavyweight,True
5349,Jonathan Wilson,1,0.2,0,0.0,0,Light Heavyweight,False
5350,Marlon Vera,67,0.788235294117647,14,0.48,0,Bantamweight,False
5351,Roman Salazar,26,0.5306122448979592,25,0.52,0,Bantamweight,False
5352,Anthony Christodoulou,96,0.588957055214724,71,0.51,0,Lightweight,False
5353,Scott Holtzman,44,0.352,31,0.27,0,Lightweight,False
5354,Demian Maia,11,0.6875,0,0.0,0,Welterweight,False
5355,Neil Magny,56,0.8235294117647058,13,0.76,0,Welterweight,False
5356,Ronda Rousey,9,0.6428571428571429,9,0.64,0,Women's Bantamweight,False
5357,Bethe Correia,19,0.59375,19,0.59,1,Women's Bantamweight,True
5358,Stefan Struve,84,0.6086956521739131,59,0.52,0,Heavyweight,False
5359,Antonio Rodrigo Nogueira,94,0.5987261146496815,93,0.59,0,Heavyweight,False
5360,Antonio Silva,46,0.7076923076923077,19,0.54,0,Heavyweight,False
5361,Soa Palelei,29,0.6744186046511628,16,0.57,1,Heavyweight,True
5362,Glaico Franca Moreira,41,0.7735849056603774,20,0.62,0,,False
5363,Fernando Bruno,47,0.8245614035087719,23,0.74,0,,False
5364,Claudia Gadelha,88,0.41904761904761906,70,0.37,0,Women's Strawweight,False
5365,Jessica Aguilar,121,0.4600760456273764,111,0.44,0,Women's Strawweight,False
5366,Mauricio Rua,73,0.4124293785310734,63,0.37,0,Light Heavyweight,False
5367,Rogerio Nogueira,82,0.6307692307692307,53,0.54,0,Light Heavyweight,False
5368,Reginaldo Vieira,73,0.5,46,0.42,0,,False
5369,Dileno Lopes,127,0.7094972067039106,59,0.56,0,,False
5370,Rafael Cavalcante,102,0.6296296296296297,49,0.53,0,Light Heavyweight,True
5371,Patrick Cummins,24,0.5106382978723404,23,0.51,0,Light Heavyweight,False
5372,Iuri Alcantara,37,0.5285714285714286,26,0.47,0,Bantamweight,False
5373,Leandro Issa,65,0.5701754385964912,53,0.52,0,Bantamweight,False
5374,Warlley Alves,30,0.6382978723404256,17,0.5,0,Welterweight,False
5375,Nordine Taleb,23,0.5,17,0.44,0,Welterweight,False
5376,Vitor Miranda,20,0.5128205128205128,15,0.44,0,Middleweight,False
5377,Clint Hester,95,0.8333333333333334,57,0.76,0,Middleweight,True
5378,Hugo Viana,47,0.7014925373134329,32,0.62,0,Bantamweight,False
5379,Guido Cannetti,42,0.6176470588235294,13,0.34,0,Bantamweight,False
5380,Edson Barboza,50,0.32679738562091504,47,0.31,0,Lightweight,False
5381,Paul Felder,64,0.4740740740740741,64,0.47,0,Lightweight,False
5382,Joe Lauzon,7,0.2916666666666667,7,0.29,0,Lightweight,False
5383,Takanori Gomi,25,0.6410256410256411,15,0.57,0,Lightweight,True
5384,Jim Miller,51,0.425,35,0.33,0,Lightweight,False
5385,Danny Castillo,61,0.48031496062992124,45,0.4,0,Lightweight,False
5386,Gian Villante,25,0.45454545454545453,22,0.42,1,Light Heavyweight,True
5387,Tom Lawlor,31,0.484375,31,0.48,0,Light Heavyweight,False
5388,Eddie Wineland,72,0.34951456310679613,61,0.32,0,Bantamweight,False
5389,Bryan Caraway,58,0.3118279569892473,52,0.28,0,Bantamweight,False
5390,TJ Dillashaw,65,0.35135135135135137,62,0.34,0,Bantamweight,False
5391,Renan Barao,170,0.6227106227106227,117,0.55,0,Bantamweight,True
5392,Kenny Robertson,172,0.6056338028169014,98,0.48,0,Welterweight,False
5393,Ben Saunders,98,0.5025641025641026,91,0.48,1,Welterweight,False
5394,Miesha Tate,81,0.48214285714285715,56,0.39,0,Women's Bantamweight,False
5395,Jessica Eye,84,0.5675675675675675,58,0.47,1,Women's Bantamweight,False
5396,Daron Cruickshank,10,0.6666666666666666,10,0.66,0,Lightweight,False
5397,James Krause,6,0.3157894736842105,6,0.31,0,Lightweight,False
5398,Zak Cummings,2,1.0,2,1.0,0,Middleweight,False
5399,Dominique Steele,16,0.48484848484848486,14,0.46,1,Middleweight,True
5400,Jessamyn Duke,83,0.5928571428571429,49,0.48,0,Women's Bantamweight,False
5401,Elizabeth Phillips,54,0.5454545454545454,36,0.45,0,Women's Bantamweight,False
5402,Ramsey Nijem,73,0.7373737373737373,20,0.51,0,Lightweight,False
5403,Andrew Holbrook,76,0.6333333333333333,29,0.46,0,Lightweight,False
5404,Leon Edwards,65,0.5416666666666666,24,0.3,0,Welterweight,False
5405,Pawel Pawlak,73,0.6636363636363637,36,0.5,1,Welterweight,False
5406,Joanne Calderwood,106,0.7210884353741497,57,0.61,0,Women's Strawweight,False
5407,Cortney Casey,227,0.7491749174917491,90,0.64,1,Women's Strawweight,False
5408,Joe Duffy,13,0.5652173913043478,7,0.46,0,Lightweight,False
5409,Ivan Jorge,10,0.3225806451612903,8,0.27,0,Lightweight,False
5410,Ross Pearson,88,0.7394957983193278,26,0.54,0,Lightweight,False
5411,Evan Dunham,47,0.7014925373134329,16,0.57,0,Lightweight,False
5412,Paddy Holohan,52,0.6582278481012658,27,0.52,0,Flyweight,False
5413,Vaughan Lee,60,0.5555555555555556,28,0.37,0,Flyweight,False
5414,Michael Bisping,80,0.40609137055837563,79,0.4,0,Middleweight,False
5415,Thales Leites,117,0.41637010676156583,115,0.41,0,Middleweight,False
5416,Stevie Ray,24,0.5853658536585366,23,0.57,0,Lightweight,False
5417,Leonardo Mafra,19,0.4634146341463415,19,0.46,1,Lightweight,True
5418,Ilir Latifi,2,0.4,2,0.4,0,Light Heavyweight,False
5419,Hans Stringer,7,0.7777777777777778,7,0.77,1,Light Heavyweight,True
5420,Mickael Lebout,41,0.5857142857142857,35,0.57,0,Lightweight,False
5421,Teemu Packalen,68,0.6071428571428571,43,0.5,0,Lightweight,False
5422,Robert Whiteford,11,0.3548387096774194,11,0.35,0,Featherweight,False
5423,Paul Redmond,22,0.5641025641025641,20,0.54,1,Featherweight,True
5424,Daniel Omielanczuk,1,0.08333333333333333,1,0.08,0,Heavyweight,False
5425,Chris de la Rocha,15,0.75,15,0.75,1,Heavyweight,True
5426,Marcus Brimage,15,0.5555555555555556,15,0.55,1,Bantamweight,True
5427,Jimmie Rivera,9,0.5294117647058824,9,0.52,0,Bantamweight,False
5428,Sam Sicilia,39,0.65,18,0.48,0,Featherweight,False
5429,Yaotzin Meza,33,0.5,12,0.29,0,Featherweight,False
5430,Alan Jouban,34,0.2786885245901639,29,0.24,1,Welterweight,False
5431,Matt Dwyer,63,0.5431034482758621,51,0.49,1,Welterweight,False
5432,Jessica Andrade,23,0.3770491803278688,18,0.32,0,Women's Bantamweight,False
5433,Sarah Moras,158,0.7669902912621359,50,0.55,0,Women's Bantamweight,False
5434,Kevin Lee,6,0.3333333333333333,6,0.33,0,Lightweight,False
5435,James Moontasri,9,0.32142857142857145,9,0.32,0,Lightweight,False
5436,Josh Thomson,101,0.6047904191616766,83,0.55,1,Lightweight,False
5437,Tony Ferguson,35,0.3431372549019608,33,0.33,0,Lightweight,False
5438,Scott Jorgensen,65,0.5078125,42,0.44,1,Bantamweight,False
5439,Manvel Gamburyan,56,0.5957446808510638,36,0.48,0,Bantamweight,False
5440,Holly Holm,32,0.3902439024390244,26,0.34,0,Women's Bantamweight,False
5441,Marion Reneau,70,0.3804347826086957,65,0.36,0,Women's Bantamweight,False
5442,Frank Mir,9,0.375,9,0.37,0,Heavyweight,False
5443,Todd Duffee,16,0.43243243243243246,16,0.43,1,Heavyweight,True
5444,Rani Yahya,136,0.8662420382165605,24,0.54,0,Bantamweight,False
5445,Masanori Kanehara,26,0.37142857142857144,24,0.35,0,Bantamweight,False
5446,Andrew Craig,64,0.5565217391304348,55,0.51,1,Welterweight,True
5447,Lyman Good,24,0.2376237623762376,20,0.2,0,Welterweight,False
5448,Igor Araujo,87,0.4627659574468085,71,0.42,1,Welterweight,False
5449,Sean Strickland,48,0.5217391304347826,39,0.47,0,Welterweight,False
5450,Kevin Casey,20,0.29850746268656714,20,0.3,0,Middleweight,False
5451,Ildemar Alcantara,64,0.5765765765765766,41,0.47,0,Middleweight,False
5452,Maximo Blanco,1,0.2,1,0.2,0,Featherweight,False
5453,Mike de la Torre,4,0.5714285714285714,4,0.57,1,Featherweight,True
5454,Jorge Masvidal,9,0.45,7,0.38,0,Welterweight,False
5455,Cezar Ferreira,14,0.56,12,0.52,1,Welterweight,True
5456,Josh Samman,5,0.5,3,0.37,0,Middleweight,False
5457,Caio Magalhaes,21,0.75,12,0.63,0,Middleweight,False
